Symbols,count,actual_min_rank_sum,IsPosNeg,up_down_tuple,rank_sum_less_than_actual,p-value,p-value2
ABCB1,"[1, 1, 1]",327,Positive,"(3, 0)",8186,0.16372,0.16372
AR,"[1, -1, -1]",304,Negative,"(1, 2)",6599,0.13198,0.13376
ARNT,"[1, 1, 1, 1, -1]",1015,Negative,"(4, 1)",47117,0.94234,0.94106
ATF2,"[1, 1, 1, 1, 1, 1]",1177,Negative,"(6, 0)",41434,0.82868,0.82868
ATF4,"[1, 1, 1, 1, 1, 1, -1]",798,Positive,"(6, 1)",1788,0.03576,0.03904
BCL6,"[1, -1, -1]",152,Negative,"(1, 2)",837,0.01674,0.01586
BRCA1,"[-1, 1, 1, 1, 1, -1]",1012,Negative,"(4, 2)",21927,0.43854,0.4422
CBFB,"[1, -1, 1]",608,Positive,"(2, 1)",47498,0.94996,0.9508
CDKN1A,"[-1, 1, 1]",529,Negative,"(2, 1)",33484,0.66968,0.67122
CEBPB,"[1, 1, 1]",284,Positive,"(3, 0)",5384,0.10768,0.10768
CREB1,"[1, 1, 1]",256,Negative,"(3, 0)",3872,0.07744,0.07744
CREBBP,"[1, 1, 1, 1, 1, 1, 1, 1]",1378,Positive,"(8, 0)",20588,0.41176,0.41176
DNMT1,"[-1, 1, -1]",386,Negative,"(1, 2)",13337,0.26674,0.27402
E2F1,"[-1, 1, 1, 1, 1, 1, 1, -1]",1555,Negative,"(6, 2)",38281,0.76562,0.77062
EGR1,"[1, -1, -1, 1, 1, 1]",983,Positive,"(4, 2)",19143,0.38286,0.38556
ELK1,"[-1, 1, 1]",560,Positive,"(2, 1)",39027,0.78054,0.77946
EP300,"[1, 1, 1, 1, 1, 1, 1]",1240,Positive,"(7, 0)",25639,0.51278,0.51278
ERG,"[1, 1, 1]",272,Positive,"(3, 0)",4702,0.09404,0.09404
ESR1,"[-1, 1, 1, -1, 1, 1, 1, 1]",1414,Negative,"(6, 2)",23811,0.47622,0.48276
EZH2,"[1, -1, -1]",364,Negative,"(1, 2)",11230,0.2246,0.23018
FOS,"[1, -1, 1, 1, 1, -1, 1, 1, 1]",1516,Positive,"(7, 2)",16730,0.3346,0.33538
FOSL1,"[-1, 1, 1, 1]",710,Negative,"(3, 1)",31555,0.6311,0.63212
FOSL2,"[1, 1, 1, 1]",612,Positive,"(4, 0)",18960,0.3792,0.3792
FOXA1,"[1, 1, 1]",437,Negative,"(3, 0)",19381,0.38762,0.38762
FOXM1,"[1, 1, 1]",239,Negative,"(3, 0)",3184,0.06368,0.06368
FOXO1,"[1, 1, -1]",563,Positive,"(2, 1)",39600,0.792,0.78984
FOXO3,"[1, 1, 1, 1]",793,Positive,"(4, 0)",44302,0.88604,0.88604
HBP1,"[-1, -1, -1]",485,Positive,"(0, 3)",26416,0.52832,0.52832
HDAC1,"[-1, -1, -1, 1, -1, -1, -1]",1397,Positive,"(1, 6)",43519,0.87038,0.87274
HIF1A,"[-1, -1, 1, 1, -1, 1, 1, 1, 1, 1]",1878,Positive,"(7, 3)",30796,0.61592,0.61494
IL10,"[-1, -1, -1, -1, -1]",749,Negative,"(0, 5)",14594,0.29188,0.29188
IL8,"[1, 1, -1]",302,Positive,"(2, 1)",6465,0.1293,0.13202
ING4,"[1, -1, -1]",541,Positive,"(1, 2)",35520,0.7104,0.7162
IRF1,"[1, 1, 1, -1, 1]",154,Negative,"(4, 1)",4,8e-05,4e-05
JUN,"[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]",2974,Positive,"(14, 1)",38736,0.77472,0.7765
JUND,"[1, -1, 1]",526,Negative,"(2, 1)",32994,0.65988,0.66108
KAT2A,"[1, 1, 1]",390,Positive,"(3, 0)",13788,0.27576,0.27576
KAT2B,"[-1, 1, 1]",186,Positive,"(2, 1)",1503,0.03006,0.0317
KLF4,"[1, 1, 1, -1]",652,Positive,"(3, 1)",23740,0.4748,0.47426
MAML1,"[1, -1, -1]",257,Negative,"(1, 2)",3925,0.0785,0.0794
MAPK1,"[1, 1, 1]",578,Negative,"(3, 0)",42191,0.84382,0.84382
MAPK3,"[1, 1, 1]",578,Negative,"(3, 0)",42191,0.84382,0.84382
MAX,"[-1, 1, 1, 1, -1, 1, -1, 1]",1495,Negative,"(5, 3)",31825,0.6365,0.63942
MYC,"[-1, 1, -1, 1, 1, -1, 1, 1, 1, -1, 1]",2181,Negative,"(7, 4)",40485,0.8097,0.81002
MYCN,"[1, -1, 1]",322,Positive,"(2, 1)",7818,0.15636,0.1601
NCOA1,"[1, 1, 1]",350,Positive,"(3, 0)",10014,0.20028,0.20028
NCOA6,"[1, 1, 1]",506,Positive,"(3, 0)",29709,0.59418,0.59418
NELFCD,"[-1, -1, 1]",313,Positive,"(1, 2)",7156,0.14312,0.14642
NFKB1,"[1, 1, 1, 1, 1, -1, 1, -1, 1, 1]",1458,Negative,"(8, 2)",5063,0.10126,0.10366
NFKBIA,"[-1, -1, -1]",588,Positive,"(0, 3)",43957,0.87914,0.87914
NOTCH1,"[1, 1, 1]",537,Positive,"(3, 0)",34856,0.69712,0.69712
NOTCH3,"[1, -1, -1, 1]",518,Positive,"(2, 2)",10043,0.20086,0.20462
NPM1,"[1, -1, 1]",510,Positive,"(2, 1)",30335,0.6067,0.60886
NR1I2,"[-1, 1, 1, 1]",571,Positive,"(3, 1)",14699,0.29398,0.29394
NR3C1,"[-1, -1, -1, 1, 1]",871,Positive,"(2, 3)",27368,0.54736,0.54994
PML,"[-1, 1, -1]",386,Positive,"(1, 2)",13337,0.26674,0.27402
PPARA,"[1, 1, -1, 1, 1]",627,Positive,"(4, 1)",6379,0.12758,0.1289
PPARD,"[1, 1, 1, -1]",637,Negative,"(3, 1)",21948,0.43896,0.43762
PPARG,"[1, 1, -1]",207,Positive,"(2, 1)",2050,0.041,0.0443
RB1,"[1, -1, -1]",612,Positive,"(1, 2)",48196,0.96392,0.96688
RBMX,"[-1, 1, -1]",401,Negative,"(1, 2)",14942,0.29884,0.30576
RBPJ,"[1, 1, 1]",525,Negative,"(3, 0)",32812,0.65624,0.65624
RELA,"[1, 1, -1, 1, 1, 1, 1, 1, 1]",1644,Negative,"(8, 1)",27210,0.5442,0.5442
RUNX3,"[-1, 1, -1, 1, -1, -1, 1]",712,Positive,"(3, 4)",810,0.0162,0.0174
SIRT1,"[-1, -1, -1]",569,Positive,"(0, 3)",40671,0.81342,0.81342
SMARCA4,"[1, 1, -1, -1]",400,Positive,"(2, 2)",3583,0.07166,0.07512
SNAI1,"[-1, 1, -1]",363,Positive,"(1, 2)",11139,0.22278,0.22818
SOX6,"[-1, -1, 1]",313,Positive,"(1, 2)",7156,0.14312,0.14642
SP1,"[1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2802,Negative,"(13, 1)",41434,0.82868,0.83056
SP3,"[1, 1, 1]",350,Positive,"(3, 0)",10014,0.20028,0.20028
SRF,"[1, 1, 1]",408,Positive,"(3, 0)",15779,0.31558,0.31558
STAT1,"[1, -1, 1, 1, -1, 1, 1, 1, 1]",1674,Positive,"(7, 2)",30110,0.6022,0.6032
STAT3,"[1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1]",3520,Negative,"(15, 3)",34095,0.6819,0.68304
STAT4,"[1, 1, 1, -1]",704,Negative,"(3, 1)",30689,0.61378,0.6151
STAT5A,"[1, 1, 1]",349,Positive,"(3, 0)",9927,0.19854,0.19854
STAT6,"[1, -1, 1]",587,Negative,"(2, 1)",43743,0.87486,0.87424
TFAP2A,"[1, -1, 1]",567,Negative,"(2, 1)",40319,0.80638,0.80382
TP53,"[-1, 1, 1, -1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1, -1, 1, 1]",2834,Positive,"(12, 5)",7944,0.15888,0.16674
TP63,"[1, -1, 1, 1, -1]",853,Positive,"(3, 2)",25241,0.50482,0.50694
USF1,"[1, 1, 1]",256,Negative,"(3, 0)",3872,0.07744,0.07744
USF2,"[1, 1, 1]",470,Negative,"(3, 0)",24064,0.48128,0.48128
ZBTB17,"[-1, -1, 1, -1]",604,Negative,"(1, 3)",18057,0.36114,0.36372
